Width,Height
1920,869
622,349,1736277973749
623,349,1736277973759
624,349,1736277973787
625,349,1736277974005
625,348,1736277974024
625,347,1736277974034
625,346,1736277974044
625,345,1736277974044
624,344,1736277974056
622,342,1736277974066
619,339,1736277974076
610,329,1736277974088
606,322,1736277974099
600,317,1736277974109
594,308,1736277974120
591,306,1736277974138
589,306,1736277974156
590,306,1736277974193
592,309,1736277974203
594,313,1736277974212
598,320,1736277974222
610,341,1736277974231
626,361,1736277974239
638,374,1736277974249
657,398,1736277974258
671,410,1736277974267
684,423,1736277974277
686,424,1736277974287
693,431,1736277974296
693,432,1736277974320
692,434,1736277974329
690,435,1736277974339
688,437,1736277974348
686,438,1736277974358
683,439,1736277974368
681,439,1736277974377
680,440,1736277974386
679,440,1736277974396
678,440,1736277974406
679,440,1736277974630
679,440,1736277974642
679,439,1736277974652
680,439,1736277974661
681,439,1736277974670
682,438,1736277974695
683,438,1736277974708
684,438,1736277974726
685,438,1736277974735
687,437,1736277974744
688,437,1736277974754
689,437,1736277974764
690,437,1736277974776
691,437,1736277974787
692,437,1736277974799
692,438,1736277974809
694,439,1736277974820
694,440,1736277974830
695,441,1736277974840
695,442,1736277974849
695,443,1736277974860
695,444,1736277974877
694,445,1736277974887
693,446,1736277974896
690,446,1736277974906
688,447,1736277974915
681,448,1736277974924
676,448,1736277974934
668,448,1736277974943
663,448,1736277974952
661,448,1736277974963
659,446,1736277974974
658,445,1736277974986
657,442,1736277974986
656,439,1736277974997
656,435,1736277975007
656,432,1736277975017
657,431,1736277975027
659,431,1736277975038
662,430,1736277975048
664,429,1736277975058
668,428,1736277975068
669,428,1736277975077
670,428,1736277975086
670,429,1736277975126
670,431,1736277975135
670,434,1736277975145
670,437,1736277975155
669,444,1736277975164
669,449,1736277975174
669,453,1736277975183
668,456,1736277975192
667,459,1736277975201
665,466,1736277975210
664,469,1736277975219
659,480,1736277975229
658,482,1736277975238
657,486,1736277975247
654,491,1736277975257
653,493,1736277975268
652,495,1736277975279
651,497,1736277975288
650,497,1736277975297
651,497,1736277975380
653,497,1736277975393
655,495,1736277975404
659,491,1736277975415
669,485,1736277975427
685,479,1736277975439
727,475,1736277975451
753,473,1736277975461
785,473,1736277975470
855,479,1736277975480
879,483,1736277975489
909,493,1736277975499
927,503,1736277975509
933,508,1736277975518
940,517,1736277975530
943,539,1736277975548
935,581,1736277975565
916,610,1736277975578
908,618,1736277975588
904,619,1736277975597
902,619,1736277975607
900,619,1736277975617
893,619,1736277975626
883,615,1736277975635
847,596,1736277975645
829,584,1736277975656
811,564,1736277975668
775,516,1736277975679
753,478,1736277975689
731,432,1736277975700
713,370,1736277975710
707,336,1736277975719
707,304,1736277975730
707,284,1736277975740
709,258,1736277975752
720,224,1736277975761
723,215,1736277975770
726,209,1736277975781
730,207,1736277975790
731,207,1736277975811
731,208,1736277975821
734,210,1736277975830
736,215,1736277975840
745,236,1736277975849
750,251,1736277975859
756,267,1736277975869
763,281,1736277975878
771,301,1736277975887
790,332,1736277975897
804,354,1736277975907
814,374,1736277975917
817,379,1736277975926
819,383,1736277975935
823,388,1736277975944
823,389,1736277975953
823,390,1736277975974
823,391,1736277975984
823,392,1736277975993
822,392,1736277976060
821,392,1736277976071
820,392,1736277976085
818,391,1736277976098
816,391,1736277976108
814,392,1736277976120
813,392,1736277976130
811,392,1736277976139
807,394,1736277976149
805,394,1736277976159
803,395,1736277976169
801,396,1736277976179
797,398,1736277976190
796,400,1736277976200
796,401,1736277976210
797,407,1736277976220
800,415,1736277976230
801,422,1736277976239
801,426,1736277976249
802,428,1736277976259
802,427,1736277976350
802,425,1736277976363
802,423,1736277976374
801,420,1736277976374
801,417,1736277976386
801,414,1736277976396
804,410,1736277976407
808,408,1736277976416
812,405,1736277976427
821,403,1736277976427
828,401,1736277976436
834,401,1736277976445
854,400,1736277976455
874,398,1736277976464
910,398,1736277976473
972,398,1736277976483
1014,398,1736277976492
1046,398,1736277976501
1080,400,1736277976510
1112,404,1736277976519
1146,406,1736277976529
1204,410,1736277976538
1226,414,1736277976548
1246,416,1736277976557
1274,423,1736277976566
1283,429,1736277976576
1296,434,1736277976585
1306,439,1736277976594
1314,442,1736277976604
1322,444,1736277976613
1325,444,1736277976622
1326,444,1736277976632
1327,444,1736277976641
1329,444,1736277976651
1331,443,1736277976660
1338,441,1736277976669
1343,441,1736277976679
1345,441,1736277976688
1347,441,1736277976697
1349,441,1736277976707
1351,444,1736277976716
1352,448,1736277976725
1355,456,1736277976735
1358,468,1736277976744
1366,510,1736277976754
1372,544,1736277976763
1376,576,1736277976772
1378,620,1736277976782
1378,652,1736277976794
1376,706,1736277976811
1376,764,1736277976831
1376,788,1736277976831
1376,824,1736277976845
1376,843,1736277976857
1374,849,1736277976857
1373,854,1736277976869
1372,855,1736277976878
