Width,Height
1920,869
808,54,1736273596252
802,53,1736273596260
795,50,1736273596268
789,46,1736273596275
781,42,1736273596284
779,39,1736273596292
778,37,1736273596300
778,36,1736273596320
779,36,1736273596332
782,35,1736273596341
785,35,1736273596348
788,35,1736273596356
792,35,1736273596364
795,37,1736273596372
796,38,1736273596380
798,40,1736273596388
799,43,1736273596396
799,47,1736273596404
800,50,1736273596412
800,53,1736273596420
800,54,1736273596428
800,55,1736273596436
799,55,1736273596446
798,56,1736273596455
795,56,1736273596464
793,56,1736273596472
789,56,1736273596480
786,54,1736273596488
782,51,1736273596502
777,45,1736273596512
771,35,1736273596520
770,31,1736273596528
770,28,1736273596536
770,27,1736273596544
771,26,1736273596553
773,25,1736273596561
777,25,1736273596569
781,25,1736273596578
784,25,1736273596587
787,26,1736273596596
790,28,1736273596605
792,30,1736273596613
794,33,1736273596622
795,36,1736273596630
796,43,1736273596638
796,50,1736273596646
796,52,1736273596654
796,55,1736273596661
794,56,1736273596669
793,57,1736273596677
792,58,1736273596685
791,59,1736273596693
789,59,1736273596701
788,59,1736273596708
787,59,1736273596718
785,56,1736273596726
785,55,1736273596734
782,45,1736273596750
781,39,1736273596758
780,36,1736273596767
780,33,1736273596775
780,32,1736273596783
780,31,1736273596792
781,31,1736273596800
783,31,1736273596810
784,31,1736273596818
787,32,1736273596827
788,34,1736273596835
791,38,1736273596843
792,41,1736273596851
793,44,1736273596860
794,49,1736273596869
794,52,1736273596877
794,56,1736273596885
794,57,1736273596893
794,58,1736273596902
793,58,1736273596918
792,58,1736273596934
791,57,1736273596942
789,54,1736273596951
787,51,1736273596959
785,49,1736273596967
785,47,1736273596975
784,47,1736273596983
784,46,1736273596991
784,45,1736273597004
785,45,1736273597313
786,47,1736273597326
787,50,1736273597334
789,52,1736273597343
791,55,1736273597351
794,60,1736273597359
799,67,1736273597367
801,72,1736273597376
804,77,1736273597384
807,82,1736273597392
810,85,1736273597400
811,86,1736273597408
811,87,1736273597416
811,88,1736273597424
811,89,1736273597434
811,90,1736273597458
810,90,1736273597470
810,91,1736273597478
809,91,1736273597487
808,92,1736273597494
806,92,1736273597502
805,93,1736273597510
803,93,1736273597518
802,93,1736273597526
801,93,1736273597536
801,93,1736273597746
802,93,1736273597760
803,93,1736273597848
804,93,1736273597862
806,93,1736273597870
809,94,1736273597878
813,95,1736273597886
817,96,1736273597894
821,97,1736273597902
826,100,1736273597910
836,101,1736273597918
845,104,1736273597926
857,107,1736273597934
889,115,1736273597942
915,123,1736273597950
945,129,1736273597959
977,137,1736273597967
1005,143,1736273597975
1047,151,1736273597983
1085,157,1736273597991
1113,163,1736273597999
1155,169,1736273598007
1191,175,1736273598015
1227,179,1736273598024
1273,187,1736273598032
1321,193,1736273598040
1361,199,1736273598048
1409,205,1736273598056
1449,211,1736273598064
1481,217,1736273598072
1509,223,1736273598080
1543,227,1736273598088
1560,231,1736273598096
1587,233,1736273598104
1611,237,1736273598113
1633,241,1736273598121
1653,247,1736273598129
1670,250,1736273598138
1687,258,1736273598146
1691,259,1736273598154
1693,260,1736273598162
1694,260,1736273598232
1695,261,1736273598245
1696,261,1736273598254
1698,262,1736273598262
1701,263,1736273598270
1703,263,1736273598278
1706,264,1736273598286
1708,264,1736273598294
1710,265,1736273598303
1712,265,1736273598310
1715,266,1736273598318
1718,267,1736273598327
1722,268,1736273598336
1731,268,1736273598350
1743,268,1736273598359
1750,268,1736273598367
1763,268,1736273598375
1778,268,1736273598383
1792,268,1736273598391
1803,268,1736273598399
1818,268,1736273598407
1829,270,1736273598416
1836,270,1736273598424
1842,270,1736273598433
1847,270,1736273598442
1850,270,1736273598450
1854,270,1736273598459
1856,270,1736273598467
1858,270,1736273598475
1861,269,1736273598483
1863,269,1736273598491
1865,268,1736273598499
1866,268,1736273598507
1867,268,1736273598516
1867,267,1736273598524
1868,267,1736273598582
1869,266,1736273598595
1870,266,1736273598603
1871,265,1736273598612
1872,265,1736273598619
1873,264,1736273598627
1874,264,1736273598635
1875,264,1736273598643
1876,264,1736273598656
1877,263,1736273598668
1879,263,1736273598677
1881,263,1736273598685
1883,263,1736273598694
1884,262,1736273598702
1885,262,1736273598716
1885,261,1736273598732
1886,261,1736273598741
1887,260,1736273598748
1887,259,1736273598788
1888,259,1736273598797
1889,258,1736273598804
1890,258,1736273598812
1892,256,1736273598820
1893,255,1736273598829
1894,254,1736273598836
1895,253,1736273598844
1896,252,1736273598852
1898,251,1736273598861
1899,250,1736273598869
1901,249,1736273598877
1902,248,1736273598885
1902,247,1736273598893
1903,247,1736273598901
1904,246,1736273598910
1905,245,1736273598918
1906,244,1736273598932
1908,242,1736273598940
1909,242,1736273598948
1910,241,1736273598956
1910,240,1736273598966
1911,240,1736273598974
1912,239,1736273598982
1913,239,1736273598990
1914,238,1736273598999
