Width,Height
1920,869
1349,405,1736277609843
1354,402,1736277609849
1356,401,1736277609857
1363,398,1736277609864
1369,396,1736277609872
1371,396,1736277609883
1375,396,1736277609891
1376,396,1736277609898
1376,397,1736277609905
1376,398,1736277609912
1374,401,1736277609920
1370,405,1736277609927
1369,406,1736277609934
1366,408,1736277609944
1362,410,1736277609952
1355,411,1736277609958
1349,413,1736277609967
1342,413,1736277609974
1339,413,1736277609981
1336,411,1736277609989
1335,409,1736277609997
1335,407,1736277610005
1335,404,1736277610013
1336,401,1736277610021
1338,399,1736277610029
1341,398,1736277610037
1344,397,1736277610043
1348,397,1736277610051
1353,397,1736277610059
1359,397,1736277610067
1362,398,1736277610075
1364,399,1736277610083
1364,400,1736277610091
1364,402,1736277610099
1363,405,1736277610107
1360,408,1736277610115
1354,412,1736277610121
1346,415,1736277610129
1342,415,1736277610137
1333,416,1736277610145
1323,416,1736277610153
1312,414,1736277610161
1294,409,1736277610169
1290,406,1736277610177
1283,402,1736277610184
1279,398,1736277610191
1279,395,1736277610199
1279,393,1736277610207
1281,390,1736277610215
1284,388,1736277610223
1290,386,1736277610231
1296,385,1736277610239
1304,385,1736277610247
1322,387,1736277610254
1336,393,1736277610261
1347,398,1736277610269
1357,404,1736277610277
1367,416,1736277610285
1370,424,1736277610293
1370,430,1736277610301
1370,436,1736277610314
1366,443,1736277610321
1361,448,1736277610328
1354,452,1736277610335
1349,453,1736277610341
1341,455,1736277610350
1330,455,1736277610357
1322,453,1736277610365
1316,451,1736277610372
1305,443,1736277610381
1294,428,1736277610390
1289,416,1736277610397
1286,407,1736277610404
1286,400,1736277610417
1287,389,1736277610425
1292,381,1736277610432
1303,375,1736277610439
1310,374,1736277610446
1324,372,1736277610453
1338,372,1736277610460
1347,372,1736277610467
1366,374,1736277610474
1380,380,1736277610481
1388,388,1736277610488
1391,392,1736277610495
1392,401,1736277610508
1392,407,1736277610515
1389,413,1736277610522
1385,417,1736277610529
1379,420,1736277610535
1370,422,1736277610544
1360,423,1736277610552
1347,423,1736277610562
1330,421,1736277610570
1324,420,1736277610576
1308,412,1736277610583
1303,407,1736277610590
1296,402,1736277610599
1294,395,1736277610606
1292,388,1736277610617
1293,385,1736277610624
1297,383,1736277610632
1301,382,1736277610638
1309,380,1736277610646
1321,380,1736277610654
1332,380,1736277610662
1343,382,1736277610671
1352,383,1736277610678
1361,389,1736277610685
1363,392,1736277610693
1363,394,1736277610699
1362,398,1736277610707
1360,401,1736277610715
1353,407,1736277610721
1348,409,1736277610729
1340,412,1736277610737
1331,415,1736277610745
1323,415,1736277610753
1318,415,1736277610761
1315,414,1736277610769
1313,412,1736277610777
1311,410,1736277610785
1311,406,1736277610793
1311,402,1736277610799
1313,396,1736277610807
1318,390,1736277610815
1324,384,1736277610823
1327,383,1736277610831
1333,382,1736277610839
1338,382,1736277610847
1344,382,1736277610855
1351,384,1736277610862
1357,390,1736277610869
1361,397,1736277610877
1362,404,1736277610885
1362,410,1736277610893
1361,415,1736277610901
1359,418,1736277610909
1355,420,1736277610917
1352,421,1736277610925
1348,422,1736277610933
1342,423,1736277610945
1339,423,1736277610952
1333,422,1736277610958
1330,420,1736277610966
1328,416,1736277610975
1327,413,1736277610982
1325,409,1736277610993
1327,405,1736277611000
1332,400,1736277611006
1337,397,1736277611012
1344,396,1736277611019
1353,394,1736277611027
1360,394,1736277611035
1368,394,1736277611043
1383,401,1736277611051
1388,405,1736277611059
1391,410,1736277611067
1391,417,1736277611073
1390,422,1736277611082
1386,427,1736277611089
1383,431,1736277611102
1378,433,1736277611110
1370,434,1736277611117
1364,434,1736277611123
1359,434,1736277611130
1355,434,1736277611138
1350,433,1736277611145
1348,430,1736277611157
1347,427,1736277611164
1347,421,1736277611171
1347,414,1736277611178
1348,406,1736277611186
1350,401,1736277611194
1352,395,1736277611202
1355,390,1736277611209
1357,386,1736277611216
1359,385,1736277611229
1359,384,1736277611236
1358,384,1736277611308
1357,384,1736277611319
1356,385,1736277611327
1354,386,1736277611333
1351,388,1736277611339
1349,393,1736277611345
1347,396,1736277611353
1340,404,1736277611363
1335,411,1736277611371
1329,415,1736277611379
1324,418,1736277611387
1321,422,1736277611395
1316,423,1736277611404
1315,423,1736277611412
1315,424,1736277611420
1315,423,1736277611448
1315,420,1736277611458
1315,416,1736277611466
1315,408,1736277611473
1315,402,1736277611479
1315,394,1736277611486
1316,390,1736277611493
1316,387,1736277611502
1317,385,1736277611514
1318,384,1736277611522
1319,383,1736277611529
1321,383,1736277611536
1323,383,1736277611543
1325,388,1736277611551
1329,392,1736277611558
1331,397,1736277611564
1334,403,1736277611571
1336,410,1736277611579
1341,417,1736277611586
1344,423,1736277611593
1346,428,1736277611605
1347,429,1736277611612
1348,430,1736277611619
1348,429,1736277611672
1347,426,1736277611683
1346,417,1736277611691
1343,406,1736277611697
