Width,Height
1920,869
705,282,1736277210047
735,261,1736277210088
739,212,1736277210128
734,209,1736277210168
724,203,1736277210208
712,176,1736277210249
711,175,1736277210293
708,175,1736277210334
708,176,1736277210376
708,175,1736277210418
708,175,1736277210462
708,175,1736277210671
708,176,1736277210726
711,180,1736277210767
734,185,1736277210809
806,181,1736277210850
836,176,1736277210894
836,176,1736277211070
795,179,1736277211119
749,177,1736277211165
749,176,1736277211211
749,177,1736277211343
749,177,1736277211431
749,177,1736277211671
748,177,1736277211731
748,176,1736277211798
734,170,1736277211846
685,160,1736277211891
641,148,1736277211936
605,141,1736277211981
558,130,1736277212023
549,124,1736277212064
548,123,1736277212109
548,124,1736277212241
548,125,1736277212289
548,124,1736277212404
549,124,1736277212478
609,143,1736277212525
696,158,1736277212567
737,158,1736277212608
738,157,1736277212660
741,147,1736277212701
743,145,1736277212744
744,145,1736277212800
745,140,1736277212841
745,139,1736277212883
743,139,1736277212925
741,139,1736277212966
742,138,1736277213045
854,120,1736277213091
964,118,1736277213133
989,118,1736277213174
988,118,1736277213239
971,121,1736277213285
834,130,1736277213326
640,132,1736277213367
414,122,1736277213409
378,120,1736277213450
379,120,1736277213686
453,118,1736277213732
655,122,1736277213773
794,122,1736277213814
814,122,1736277213855
812,123,1736277214145
686,154,1736277214193
448,180,1736277214234
344,184,1736277214275
345,178,1736277214317
349,176,1736277214358
354,172,1736277214399
372,169,1736277214441
407,173,1736277214483
462,178,1736277214525
550,183,1736277214566
561,185,1736277214609
561,186,1736277214725
563,186,1736277214772
617,183,1736277214814
869,181,1736277214856
1057,181,1736277214898
1139,181,1736277214938
1144,181,1736277214979
1131,182,1736277215020
1115,182,1736277215060
1016,190,1736277215103
828,194,1736277215144
661,194,1736277215185
613,196,1736277215225
612,196,1736277215367
607,193,1736277215413
607,191,1736277215454
607,191,1736277215549
589,198,1736277215598
510,236,1736277215643
470,255,1736277215688
469,254,1736277215734
476,240,1736277215779
498,215,1736277215839
503,205,1736277215881
507,199,1736277215923
512,193,1736277215965
519,186,1736277216007
530,177,1736277216050
531,176,1736277216092
531,177,1736277216174
528,180,1736277216219
524,183,1736277216261
522,184,1736277216303
522,185,1736277216345
522,185,1736277216386
